"주요품목별(1)",2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"쌀",85.83,85.71,86.92,84.87,80.38,81.87,87.36,87.60,69.99,78.11,85.82,90.13,88.49,85.88,79.93,74.91,90.26,98.99,100.00,108.17,95.23
"돼지고기",50.83,52.46,65.60,70.69,70.44,67.54,76.81,83.39,67.80,88.94,76.60,70.49,82.64,88.50,89.92,95.56,92.59,88.06,100.00,110.04,120.27
"국산쇠고기",62.12,69.68,76.21,78.06,86.52,83.45,82.60,91.96,75.86,66.16,64.72,65.50,70.27,75.57,85.39,86.53,87.69,91.45,100.00,108.37,109.98
"우유",43.69,44.46,49.25,56.81,58.90,58.90,68.17,82.15,76.51,77.79,84.24,87.72,94.11,94.17,93.79,92.93,94.93,99.48,100.00,101.46,107.83
"라면",62.68,66.17,68.98,74.51,74.44,79.15,90.58,92.74,87.84,88.35,94.80,95.59,95.71,95.36,95.56,100.71,100.72,100.60,100.00,103.03,112.81
"스낵과자",49.68,50.06,51.15,57.22,57.27,63.23,73.50,80.00,69.99,75.41,80.03,83.49,88.94,88.96,88.38,94.67,95.14,98.64,100.00,102.15,108.34
"달걀",46.54,47.28,59.50,69.62,63.78,66.33,80.16,86.84,83.13,101.10,90.32,94.76,105.82,101.34,89.77,136.88,86.78,89.99,100.00,146.16,136.67
"닭고기",65.50,57.63,75.04,78.10,74.98,72.28,86.52,101.48,102.43,108.17,100.46,102.13,99.95,101.29,96.76,103.09,101.27,104.39,100.00,106.62,119.05
"두부",59.65,59.90,62.84,63.38,63.16,66.11,73.17,75.46,77.04,95.43,95.41,100.38,100.02,99.06,100.11,96.92,95.42,97.16,100.00,108.19,115.91
"마른멸치",62.00,60.77,60.07,71.35,72.55,74.92,77.19,82.48,85.84,88.80,86.45,90.43,92.30,90.41,89.31,93.36,94.29,99.13,100.00,98.74,101.22
"고등어",67.28,66.91,88.46,79.47,91.08,89.28,85.94,90.35,100.85,120.62,104.22,97.74,102.83,100.76,92.77,95.61,93.09,89.35,100.00,111.10,109.82
"파",52.74,83.99,67.18,68.40,84.78,77.08,77.00,80.43,113.75,89.05,102.78,86.31,57.24,79.92,97.38,92.41,93.62,76.00,100.00,137.66,96.87
"참기름",59.97,60.77,81.30,80.05,73.59,74.85,88.88,98.95,85.54,84.86,84.69,86.53,88.82,88.62,90.73,86.95,87.71,93.69,100.00,104.85,116.01
"맛김",44.38,44.95,45.55,47.08,48.66,59.19,64.82,71.96,67.53,74.41,82.49,84.48,86.82,90.21,94.07,102.30,101.65,101.46,100.00,100.64,102.81
"콩나물",68.66,70.64,73.24,73.91,72.60,72.06,76.17,77.28,73.44,85.82,87.93,90.45,92.09,92.46,96.72,101.37,101.88,102.10,100.00,98.56,104.70
"탄산음료",48.39,50.83,52.28,55.24,56.52,58.79,62.64,68.73,63.71,69.49,73.95,76.71,82.07,89.11,89.60,93.37,93.94,95.20,100.00,105.86,111.61
"밀가루",48.90,54.80,59.23,63.22,64.32,69.30,113.60,104.82,89.79,94.94,95.44,102.12,104.02,102.52,99.93,97.36,97.28,100.72,100.00,101.45,126.63
"담배(국산)",42.43,42.90,42.90,54.61,54.61,54.61,54.61,54.61,54.61,55.30,56.35,56.40,56.30,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"맥주",84.83,90.32,90.11,91.29,88.34,86.99,89.59,92.38,86.55,86.62,88.15,90.34,90.34,91.00,92.78,97.50,97.50,98.64,100.00,100.16,105.25
"소주",74.71,79.61,83.78,84.95,85.83,88.97,91.00,97.19,78.17,75.29,74.36,80.55,79.85,80.73,86.17,91.85,93.28,97.99,100.00,100.61,107.90
"세탁료",80.16,85.39,87.65,89.11,90.04,90.82,94.01,96.08,94.06,95.53,95.94,96.98,97.41,97.09,97.09,96.88,97.11,97.64,100.00,103.46,111.35
"전세",68.68,72.45,74.09,73.84,74.25,76.21,78.47,80.10,73.64,77.12,80.72,83.30,86.17,89.74,93.16,96.34,98.36,99.12,100.00,101.96,104.28
"월세",83.99,85.02,85.28,83.95,83.49,84.66,87.25,89.04,90.57,93.49,96.27,98.16,99.19,99.43,100.02,100.19,99.76,99.46,100.00,101.08,101.91
"전기료",95.94,92.79,90.38,89.64,90.98,91.34,91.34,91.34,105.39,107.50,109.69,113.81,116.36,114.41,109.69,102.77,99.77,100.00,100.00,99.49,112.32
"도시가스",54.52,57.56,59.51,62.27,71.80,75.32,80.35,86.02,109.40,119.24,128.64,136.93,146.06,122.32,100.45,104.18,99.82,103.62,100.00,94.47,109.79
"상수도료",82.35,83.94,84.09,85.70,87.57,89.37,91.17,91.17,91.17,92.90,99.41,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,102.65,121.20
"세탁세제",83.04,84.30,90.67,93.37,90.70,99.66,101.96,111.84,138.02,148.01,153.58,132.74,124.53,130.24,115.22,112.07,103.46,105.21,100.00,99.80,111.75
"외래진료비",-,-,-,81.82,84.36,86.85,88.56,91.09,82.85,84.25,84.84,85.69,87.20,88.85,90.90,93.24,95.53,97.65,100.00,101.83,104.19
"치과진료비",90.90,90.17,90.30,90.16,90.88,95.08,97.49,100.21,94.66,96.45,98.54,96.05,93.50,93.79,95.61,97.48,98.19,97.16,100.00,101.11,103.39
"감기약",67.38,69.90,70.43,72.74,72.71,75.48,85.05,86.94,75.99,77.61,78.72,80.31,82.58,87.04,90.81,92.36,96.10,99.41,100.00,100.31,103.93
"휘발유",78.60,80.46,84.49,89.17,92.95,96.68,108.26,102.19,119.30,134.01,139.72,135.94,130.22,108.36,101.69,107.84,113.50,106.25,100.00,113.22,127.69
"시내버스료",55.31,62.64,68.42,72.73,72.73,79.93,82.33,82.33,77.24,77.24,85.60,87.25,87.25,93.81,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"도시철도료",49.37,56.24,64.81,72.01,72.01,78.00,80.00,80.00,74.07,74.07,83.33,85.19,85.19,92.59,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"휴대전화료",122.86,115.86,114.14,111.16,111.16,109.34,107.38,107.34,115.11,112.73,108.79,108.79,108.79,108.79,108.79,108.80,107.09,103.56,100.00,101.23,101.62
"영화관람료",79.90,79.90,79.90,79.90,79.90,80.55,81.01,86.13,78.38,78.38,78.38,79.44,83.21,85.46,87.74,88.45,95.00,97.44,100.00,116.48,125.32
"삼겹살(외식)",52.48,55.61,60.10,63.98,64.30,65.07,69.12,75.56,67.29,77.94,80.91,81.45,82.61,85.30,87.82,90.94,95.45,97.34,100.00,101.95,111.62
"설렁탕",64.02,68.69,69.45,70.07,71.54,75.05,76.64,79.78,71.79,76.82,78.75,80.21,81.99,85.53,87.58,91.73,96.43,98.13,100.00,103.72,113.52
"미용료",59.68,64.55,66.99,65.88,65.11,67.09,71.36,77.02,75.25,80.20,83.86,86.39,93.45,94.55,95.26,93.95,96.72,98.59,100.00,99.72,105.27
"목욕료",57.11,61.91,61.23,61.37,61.76,64.07,70.52,77.12,72.14,74.72,80.05,83.65,85.79,88.33,90.21,91.21,94.27,97.28,100.00,102.12,109.38
