"시점","항목",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2002","1인당 개인소득",9820,11463,9330,9246,8700,9011,9288,11896,-,10122,8491,8658,8929,8517,8716,9207,9291,9314
"2003","1인당 개인소득",10389,12285,9685,9494,9280,9610,10072,12603,-,10608,8960,9030,9454,9242,9219,9593,9912,9679
"2004","1인당 개인소득",11063,13044,10164,10052,9937,10103,10563,13422,-,11299,9589,9758,10075,9844,10036,10315,10636,10082
"2005","1인당 개인소득",11551,13525,10695,10693,10344,10865,11133,14129,-,11622,10036,10403,10417,10448,10644,10946,11101,10552
"2006","1인당 개인소득",12058,14008,11323,11193,10769,11389,11755,14426,-,12196,10530,10840,10994,10922,11110,11202,11611,11125
"2007","1인당 개인소득",12636,15023,11855,11503,11151,12137,12339,15502,-,12740,10863,11247,11365,11387,11424,11391,11967,11544
"2008","1인당 개인소득",13425,15783,12699,12279,11843,12902,13070,16438,-,13581,11683,11983,12006,12060,12013,12156,12970,12411
"2009","1인당 개인소득",13811,16080,12993,12851,12334,13298,13701,16950,-,13760,12330,12615,12660,12649,12643,12657,13316,12809
"2010","1인당 개인소득",14558,17277,13605,13446,13214,13439,14373,17634,-,14455,12844,13246,13326,13197,13161,13342,13933,13259
"2011","1인당 개인소득",15137,18252,14396,13969,13600,13815,14992,18594,-,15041,13124,13422,13376,13653,13374,13631,14423,13888
"2012","1인당 개인소득",15711,18795,15098,14554,14181,14662,15537,18941,-,15647,13712,14111,13948,13915,13982,14283,14931,14383
"2013","1인당 개인소득",16432,19525,15651,15320,14829,15454,16253,19782,17607,16399,14394,14707,14892,14628,14575,15052,15646,14829
"2014","1인당 개인소득",17006,19832,16147,16031,15507,16225,16946,20142,22944,16969,15152,15558,15509,15548,15039,15738,16272,15329
"2015","1인당 개인소득",18063,20857,17044,17226,16598,17459,18229,21348,21957,18069,16311,16531,16703,16239,16067,16550,17411,16685
"2016","1인당 개인소득",18520,21295,17525,17848,17222,18232,18741,21422,21000,18611,16798,16915,16952,16499,16528,16894,17744,17366
"2017","1인당 개인소득",19204,22237,18189,18350,17884,18926,19314,21956,21404,19375,17484,17465,17788,17059,17043,17428,18011,17816
"2018","1인당 개인소득",19910,23323,18868,18555,18659,19868,19649,21655,20990,19907,18450,18440,18458,18141,18207,18185,18466,18456
"2019","1인당 개인소득",20661,23978,19723,19196,19582,20791,20648,22617,20674,20746,19174,18989,19216,18941,19072,18748,19078,18815
"2020","1인당 개인소득",21342,24226,20460,20229,20310,21591,21707,23863,21407,21220,20267,20029,20393,19991,19873,19798,19759,19954
"2021","1인당 개인소득",22059,24950,21035,20886,21170,22209,22565,24897,22162,21869,20918,21019,21169,20745,20779,20522,20535,20360
"2022 p)","1인당 개인소득",23388,26112,22577,22368,22406,23669,24220,26066,23215,23136,22395,22533,22481,22262,22298,21981,21887,21508
